Probe ID,Gene ID,Gene Symbol,bmdl,bmd,bmdu,Unadjusted P-Value,Adjusted P-Value,Max Fold Change,Max Fold Change Unsigned,FC Dose Level 1,FC Dose Level 2,FC Dose Level 3,FC Dose Level 4,FC Dose Level 5,FC Dose Level 6,FC Dose Level 7
HADHA_2875,3030,hadha,5.689342111,8.351162922,14.27391803,5.65E-08,1.04E-06,1.9123867,1.9123867,1.0376871,1.0029423,1.1124437,1.2961831,1.2749941,1.7872541,1.9123867
HERPUD1_2924,9709,herpud1,26.19584371,33.98481285,52.44812352,0.003490751,0.014970664,1.5133783,1.5133783,1.2374958,1.0505877,1.1316962,1.2713642,1.1009101,1.1437058,1.5133783
HIST1H1C_2950,,hist1h1c,23.14323466,25.01426423,27.55175365,9.22E-07,1.19E-05,-1.68656,1.68656,-1.025976,-1.0267636,-1.0142843,-1.0695457,-1.0464996,-1.1202312,-1.68656
HIST1H2BD_18171,,hist1h2bd,19.29502968,22.38340005,27.3199419,3.33E-05,0.000267862,-1.6476718,1.6476718,1.1819898,-1.059921,1.2773114,-1.0398611,1.0179349,-1.1668376,-1.6476718
HLA-DMB_10963,3109,hla-dmb,0.85055288,1.27245103,2.659210802,1.46E-05,0.000129705,-4.391218,4.391218,-1.0760978,1.0563363,1.2352588,-1.2936382,-2.3003864,-4.391218,-2.1920986
HLA-DQB1_2990,3119,hla-dqb1,2.527471696,3.345443339,7.510503784,0.000268967,0.00173011,-3.9008281,3.9008281,1.3265566,1.2356664,1.3214178,-1.3391039,-1.6387843,-3.9008281,-3.0448565
HLA-DRA_2993,3122,hla-dra,3.583326541,4.837531758,8.380319347,0.001141383,0.006018541,-2.7910082,2.7910082,1.3011192,1.0629247,1.4230031,-1.6542784,-1.8674649,-2.7910082,-2.4506967
HLA-DRB1_2994,3123,hla-drb1,3.595625147,4.617623606,6.772610437,0.000965069,0.005208772,-2.111606,2.111606,1.1922919,1.1694344,1.6002386,-1.2688614,-1.9988402,-1.8552572,-2.111606
HLA-DRB5_15922,3127,hla-drb5,1.237161443,3.122117638,29.92728103,0.002137036,0.00981567,-2.4781625,2.4781625,1.1992335,1.0239494,1.4318246,-1.5652952,-2.4781625,-2.2171001,-1.8507245
HLA-DRB5_2997,3127,hla-drb5,1.130711782,1.688095528,3.083636835,0.000524532,0.003114166,-2.3516364,2.3516364,1.3495861,1.0164832,1.1932727,-1.3640337,-2.3516364,-2.2723553,-1.9215846
HMGCR_3029,3156,hmgcr,4.518055771,5.691539978,6.898055591,3.33E-16,4.85E-14,-4.255942,4.255942,-1.0310396,-1.2355798,-1.1903231,1.1278046,-1.2512814,-3.1420085,-4.255942
HMGCS1_3030,,hmgcs1,4.873154398,5.942329863,7.877753826,0.008791256,0.031316406,-3.131377,3.131377,-1.1197858,-1.1825404,-1.7630218,-1.1036727,-1.7335117,-2.115092,-3.131377
HMGCS2_16503,3158,hmgcs2,19.53118305,19.92998377,20.34895522,4.72E-07,6.69E-06,-2.36635,2.36635,-1.0889301,1.0756903,1.0724123,1.2089823,1.2904176,1.1547935,-2.36635
HNF4A_28261,3172,hnf4a,4.168894707,5.447821617,8.21153258,0.001134289,0.006000874,-1.8865845,1.8865845,1.0249944,-1.0609459,-1.209478,-1.0243207,-1.8865845,-1.5380524,-1.7932374
HP_3085,3240,hp,9.078833064,10.20633474,11.53850931,0,0,-18.123857,18.123857,1.0508405,1.2272354,1.032517,1.0211347,-1.4323083,-2.0284438,-18.123857
HPR_3094,3250,hpr,11.10694192,12.22157742,13.84798845,0,0,-9.520662,9.520662,1.0297469,1.1283945,1.0853635,-1.0488051,-1.2341716,-1.5771043,-9.520662
HSD17B11_3115,51170,hsd17b11,57.53983938,124.7701445,863.8066188,0.003660179,0.015440177,-1.5768468,1.5768468,-1.283894,-1.3831407,-1.0233471,-1.2587112,-1.3185842,-1.5768468,-1.0819595
HSP90AB1_3128,3326,hsp90ab1,19.19558133,21.41857378,24.72349,1.65E-05,0.000143365,1.9646882,1.9646882,1.1086997,-1.1060015,1.0233755,-1.0167727,-1.0238248,1.1546454,1.9646882
HSPD1_3152,,hspd1,15.50605675,17.39229333,20.04135094,6.21E-08,1.13E-06,2.474002,2.474002,1.2568346,1.2159851,1.0448489,1.1800474,1.1084908,1.478864,2.474002
HYOU1_3177,10525,hyou1,14.30431478,17.68852934,23.99331547,0.00185051,0.008724608,1.7997975,1.7997975,1.1427238,1.3299813,1.086319,1.084342,1.0747912,1.5835692,1.7997975
IDI1_12170,,idi1,8.05077671,8.58002135,9.195931781,2.51E-13,1.91E-11,-5.893649,5.893649,-1.110002,-1.328618,-1.016107,-1.0508037,-1.1230078,-3.1459272,-5.893649
IFITM1_3226,8519,ifitm1,8.157830349,9.672764595,10.74381024,0.000186325,0.001249705,-4.9714026,4.9714026,1.3219246,1.077541,1.1588109,-1.0303862,1.1178385,-1.3746202,-4.9714026
IFITM2_11682,,ifitm2,29.34317546,35.30059777,46.46110565,0.003881175,0.016146787,-1.6009798,1.6009798,-1.0089159,-1.0215291,-1.0647517,1.0101137,-1.2561187,-1.0259664,-1.6009798
IFITM3_17816,,ifitm3,29.89567554,34.40585247,41.62273591,0.000234988,0.00152504,-1.6275486,1.6275486,1.1096015,1.0480503,1.0419658,1.0398315,-1.2039461,-1.0178683,-1.6275486
IGFBP1_10877,3484,igfbp1,2.658077238,3.228294867,4.025847865,1.95E-06,2.22E-05,15.083376,15.083376,1.4249554,-1.1559765,1.2701596,1.306901,-1.0481061,5.5789676,15.083376
IGFBP1_3266,3484,igfbp1,3.385356639,3.930991882,4.669080971,1.38E-07,2.35E-06,12.4901495,12.4901495,1.5297537,1.1821723,1.279016,1.5823469,-1.0447972,5.8209033,12.4901495
INSIG1_3385,3638,insig1,6.473484937,7.121669496,7.825177477,1.11E-16,2.22E-14,-13.927453,13.927453,-1.0076635,-1.146693,-1.2131268,1.0528611,-1.2538747,-2.944412,-13.927453
IRS1_20491,3667,irs1,6.018836954,7.706481834,14.54000106,0.011120051,0.038583208,-2.3830037,2.3830037,-1.2958592,-1.0301043,-1.0459709,1.3072319,-1.058893,-2.3830037,-1.9682337
ISOC1_3421,51015,isoc1,19.37185567,39.21887579,265.8105996,0.002217824,0.010128693,-2.223997,2.223997,-1.7344978,-2.223997,-1.0869765,-1.3982706,-1.6997552,-2.1515286,-1.2622186
ITGA1_27365,3672,itga1,19.08294697,19.58075019,19.95701558,2.89E-06,3.17E-05,-1.9235119,1.9235119,1.1480765,1.0706705,1.1669356,1.0888402,-1.0982825,1.2000059,-1.9235119
ITPR2_3454,,itpr2,12.61829127,14.90664804,18.54242473,0.002067954,0.009580724,-1.8791304,1.8791304,-1.0150958,-1.1017696,1.0170995,-1.0738661,-1.1177373,-1.555161,-1.8791304
KRT18_19582,,krt18,13.89957229,15.90298659,18.64530212,3.00E-07,4.46E-06,2.6872265,2.6872265,1.255443,1.3058056,1.2153944,1.314732,1.1117556,2.1556854,2.6872265
KRT7_10561,3855,krt7;krt7-as,2.418416723,2.958672746,3.81638325,3.98E-07,5.80E-06,7.0716376,7.0716376,1.1107459,1.513903,1.1597415,2.1551626,1.8223889,4.840049,7.0716376
