Probe ID,Gene ID,Gene Symbol ,Df1,Df2,F-Value,Unadjusted P-Value,Adjusted P-Value,Max Fold Change,Max Fold Change Unsigned,FC Dose Level 1,FC Dose Level 2,bmdl,bmd,bmdu,BMDU/BMDL
1426758_s_at,17263,Meg3,2,12,30.79463121,0.0000188,0.006424111,-2.9343152,2.9343152,-1.873412,-2.9343152,3.01451628,4.122456425,5.936777212,1.969396301
1426785_s_at,23945,Mgll,2,12,23.29220484,0.0000739,0.014609873,1.9471613,1.9471613,1.2839118,1.9471613,10.2709552,11.86092896,14.74566932,1.435666794
1426856_at,72479,Hsdl2,2,12,26.03537823,0.0000432,0.010755633,2.0835543,2.0835543,1.7074112,2.0835543,1.11502442,2.129218586,6.596731718,5.916221743
1426857_a_at,72479,Hsdl2,2,12,41.19897055,0.00000422,0.002581521,2.201596,2.201596,1.7636817,2.201596,1.352533896,2.798283359,6.679689613,4.938648585
1426893_at,98952,Fam102a,2,12,16.90707691,0.000323,0.036329425,2.1081448,2.1081448,1.1408108,2.1081448,5.75856191,6.583056108,7.66108696,1.330381974
1426894_s_at,98952,Fam102a,2,12,23.1230609,0.0000765,0.014929992,2.273331,2.273331,-1.0539111,2.273331,7.818591146,8.740759147,9.298502234,1.189281043
1426989_at,232370,Clstn3,2,12,45.34033744,0.00000255,0.002015888,2.5475318,2.5475318,1.2032363,2.5475318,5.629924283,6.262797148,6.910727776,1.22749924
1427033_at,71972,Dnmbp,2,12,23.95554477,0.0000646,0.013802186,1.5571896,1.5571896,1.3570021,1.5571896,11.85680197,14.91664138,20.92965886,1.7652027
1427357_at,72269,Cda,2,12,17.96721939,0.000246,0.030085789,2.5259805,2.5259805,1.944401,2.5259805,1.332827259,2.04368443,4.131836648,3.10005413
1427450_x_at,17912,Myo1b,2,12,19.35210022,0.000176,0.024460482,-1.755941,1.755941,1.0556703,-1.755941,9.668572298,10.53982781,11.67512772,1.207533787
1427472_a_at,110382,C8b,2,12,26.64523859,0.0000385,0.009991377,-1.6007681,1.6007681,-1.2023062,-1.6007681,16.53318923,19.18099771,25.8880922,1.565825676
1427539_a_at,52696,Zwint,2,12,30.99436103,0.0000182,0.006404571,1.6374394,1.6374394,1.1930164,1.6374394,8.53659837,9.682106049,11.30933675,1.324806001
1427895_at,69535,Ten1,2,12,48.66896259,0.00000175,0.001545534,2.148127,2.148127,1.3669764,2.148127,4.219813621,4.892308082,5.660660864,1.341448076
1427912_at,109857,Cbr3,2,12,37.20981308,0.00000717,0.003548143,5.2764916,5.2764916,-1.3494617,5.2764916,6.674476949,7.779163628,8.587850765,1.286670226
1428143_a_at,66853,Pnpla2,2,12,19.53486612,0.000168,0.02427525,1.6217579,1.6217579,1.1722479,1.6217579,11.83611853,13.74219074,17.15932522,1.449742597
1428484_at,71720,Osbpl3,2,12,47.31562196,0.00000203,0.001728586,4.181243,4.181243,1.1465107,4.181243,4.949285305,6.239983691,7.211449003,1.45706876
1428512_at,70237,Bhlhb9,2,12,24.43313092,0.0000587,0.012983258,2.659852,2.659852,1.2516177,2.659852,3.467095312,4.086304377,4.800643223,1.384629723
1428559_at,70750,Kdsr,2,12,237.6782327,2.23E-10,0.00000503,2.9907894,2.9907894,1.3489422,2.9907894,5.195245723,5.463744099,5.768008921,1.110247566
1428635_at,69156,Comtd1,2,12,16.0398879,0.000407,0.040796685,1.6802255,1.6802255,-1.0220549,1.6802255,9.193314918,9.987815155,11.29847888,1.228988562
1428677_at,71968,Wdr73,2,12,60.1897971,0.000000555,0.000927,1.6381123,1.6381123,1.214128,1.6381123,10.9591315,11.9493643,13.54916582,1.236335727
1428678_s_at,71968,Wdr73,2,12,58.03277393,0.000000677,0.00099,1.7922763,1.7922763,1.2244172,1.7922763,7.690764385,8.453463512,9.355023215,1.216397064
1428743_at,76809,Bri3bp,2,12,37.14039462,0.00000724,0.003548143,1.6975931,1.6975931,1.0733676,1.6975931,10.1416087,10.85607051,11.90787687,1.174160552
1428744_s_at,76809,Bri3bp,2,12,24.98192433,0.0000528,0.012264267,1.6092389,1.6092389,-1.0064327,1.6092389,10.0532236,10.55695633,11.45070836,1.139008621
1429212_a_at,69358,Lrrc51,2,12,22.6189929,0.0000849,0.016131509,1.7045491,1.7045491,1.1216857,1.7045491,7.731381257,8.694168541,10.16365067,1.314597008
1429295_s_at,69716,Trip13,2,12,16.10730005,0.0004,0.040324772,1.6544287,1.6544287,-1.2898192,1.6544287,7.423053302,8.477376949,16.43408508,2.213925243
1429298_at,69219,Ddah1,2,12,22.81835413,0.0000815,0.015631864,1.5347075,1.5347075,1.2562392,1.5347075,15.65209693,19.62097303,34.72440758,2.218514729
1429299_at,69219,Ddah1,2,12,17.5909626,0.000271,0.032209241,1.6177405,1.6177405,1.2511606,1.6177405,11.23093533,13.67218782,20.2279409,1.801091387
1429364_at,75939,4930579G24Rik,2,12,27.46061629,0.0000332,0.009117416,1.8173472,1.8173472,-1.151354,1.8173472,7.732622397,8.700376348,9.287390553,1.201066091
1429523_a_at,72002,Slc39a5,2,12,57.04727179,0.000000743,0.001015271,2.6916692,2.6916692,1.1901497,2.6916692,5.089139955,5.800828127,6.477527689,1.272813824
1429786_a_at,52696,Zwint,2,12,14.78236207,0.000579,0.047658863,1.6385562,1.6385562,1.076808,1.6385562,9.985520049,11.29013123,14.19259406,1.421317466
1429787_x_at,52696,Zwint,2,12,23.56078425,0.0000699,0.014269399,1.5507345,1.5507345,1.1641065,1.5507345,11.11040102,12.8590068,16.14451833,1.453099515
1429809_at,278279,Tmtc2,2,12,14.91814334,0.000557,0.046946269,2.3845735,2.3845735,2.315614,2.3845735,0.280736617,0.67111765,14.92918633,53.17862169
1429988_at,56525,Zfp235,2,12,20.6692657,0.00013,0.02077074,-1.6950623,1.6950623,-1.0577785,-1.6950623,7.031858167,7.810415211,8.614458972,1.225061537
1430117_a_at,22722;100502777,Zfp64,2,12,16.58130644,0.000352,0.038335307,1.6817017,1.6817017,1.103517,1.6817017,9.091263745,10.35870191,14.58683635,1.604489404
1430307_a_at,17436,Me1,2,12,33.48191855,0.0000123,0.005050234,2.022824,2.022824,1.2502619,2.022824,10.4700275,11.75500201,13.84414564,1.322264495
1430570_at,70789,Kynu,2,12,38.09768007,0.00000634,0.003366513,-1.5295322,1.5295322,-1.025058,-1.5295322,11.72254942,12.70300355,14.74912199,1.258183819
1430780_a_at,29858,Pmm1,2,12,14.62891901,0.000605,0.04831696,1.6707056,1.6707056,1.1121992,1.6707056,7.04678467,8.11354961,9.984541989,1.416893301
1431012_a_at,23986,Eci2,2,12,21.36240548,0.000111,0.018848917,1.8658928,1.8658928,1.6073444,1.8658928,10.90658437,14.18271443,21.96439009,2.013865142
1431255_at,73316,Calr3,2,12,32.64582819,0.000014,0.005589842,1.83076,1.83076,1.1653384,1.83076,4.613759682,5.206205015,5.93236018,1.285797395
1431424_at,77994,2810055G20Rik,2,12,19.0834023,0.000187,0.025439555,-1.5043944,1.5043944,-1.0153874,-1.5043944,9.604650156,10.46753337,11.78325537,1.22682817
1433073_at,71127,4933425E08Rik,2,12,24.33816599,0.0000598,0.013079346,1.7351394,1.7351394,1.1083219,1.7351394,6.356249018,7.129517122,8.15249716,1.282595622
1433493_at,108958,Fam73b,2,12,21.7298989,0.000103,0.018078567,1.60335,1.60335,1.1397043,1.60335,12.19793208,13.99317909,17.17547185,1.408064231
1433598_at,234023,Arglu1,2,12,20.32675607,0.00014,0.021818335,-1.5958083,1.5958083,-1.0385005,-1.5958083,9.67090771,10.37684717,11.56643525,1.196003063
1433634_at,270110,Irf2bp2,2,12,15.48541165,0.000474,0.043349914,-1.5693316,1.5693316,1.2019644,-1.5693316,10.07914004,10.96073482,20.58238945,2.042077931
1433995_s_at,67501,Ccdc50,2,12,14.70863447,0.000592,0.04804745,-1.5813572,1.5813572,-1.048119,-1.5813572,11.27634894,12.81417342,15.56868673,1.380649606
1434089_at,104027,Synpo,2,12,43.3498131,0.00000323,0.002207174,1.8459057,1.8459057,-1.0976892,1.8459057,7.935995219,8.862963536,9.369811763,1.180672556
1434138_at,229589,Prune,2,12,23.72959775,0.0000676,0.014009007,2.365005,2.365005,1.0499903,2.365005,7.280851899,8.14487658,8.849972571,1.215513335
1434170_at,245404,Dcaf12l1,2,12,14.84064793,0.000569,0.04720929,1.646343,1.646343,-1.0987377,1.646343,7.974956953,8.916798214,11.8650135,1.487784018
1434180_at,218952,Fermt2,2,12,22.39084323,0.0000891,0.016330378,-1.5102013,1.5102013,-1.033283,-1.5102013,12.8044408,14.21754613,16.95767709,1.324359053
1434181_at,218952,Fermt2,2,12,27.35693029,0.0000339,0.009117416,-1.5246525,1.5246525,-1.0114241,-1.5246525,11.70106514,12.63858859,14.63108584,1.250406324
1434185_at,107476,Acaca,2,12,43.55928364,0.00000315,0.002184893,1.6855881,1.6855881,1.1633011,1.6855881,11.13322734,12.34438828,14.30742304,1.285110113
1434271_at,230101,Gba2,2,12,17.0519544,0.000311,0.035501775,-1.5052679,1.5052679,-1.3474882,-1.5052679,10.96184923,14.1575746,21.68055669,1.977819274
1434382_at,230779,Serinc2,2,12,39.51213366,0.00000525,0.002887464,2.5230534,2.5230534,1.3367271,2.5230534,4.332349724,4.924873379,5.607404992,1.294310328
1434473_at,217316,Slc16a5,2,12,38.64050981,0.0000059,0.00316548,3.1321833,3.1321833,1.5276335,3.1321833,3.522799004,4.112589065,4.804986353,1.363968352
1434629_at,320633,Zbtb26,2,12,15.01864514,0.000541,0.046395902,-1.5790863,1.5790863,-1.0576984,-1.5790863,7.619835086,8.529865354,9.829777404,1.290024954
1434642_at,114664,Hsd17b11,2,12,41.32983707,0.00000415,0.002581521,2.2213047,2.2213047,1.7314385,2.2213047,9.866465739,12.0930434,16.19576719,1.641496319
1434923_at,68033,Cox19,2,12,19.19705585,0.000182,0.025068078,1.6594281,1.6594281,1.0825282,1.6594281,11.53492938,13.01086191,15.78339872,1.368313424
1434944_at,13400,Dmpk,2,12,17.53896421,0.000274,0.032345842,1.6452742,1.6452742,-1.1464297,1.6452742,8.778462207,9.626611413,10.6302341,1.210944907
1435134_at,320024,Nceh1,2,12,24.33310861,0.0000599,0.013079346,2.3841646,2.3841646,1.2689469,2.3841646,5.217827664,5.978762904,7.056278105,1.3523402
1435135_at,320024,Nceh1,2,12,40.89840692,0.00000438,0.002600124,2.4062994,2.4062994,1.2400445,2.4062994,5.861970066,6.493443232,7.285674846,1.242871383
1435245_at,216456,Gls2,2,12,18.85405088,0.000198,0.026310889,-1.6550494,1.6550494,-1.0925417,-1.6550494,13.59757169,15.71514265,19.71235262,1.449696539
1435376_at,72108,Ddhd2,2,12,20.14962248,0.000146,0.02238483,1.8047702,1.8047702,1.2850895,1.8047702,8.574966624,10.20278454,12.99827845,1.515840122
1435745_at,223739,5031439G07Rik,2,12,26.23951176,0.0000416,0.010527929,1.9345324,1.9345324,1.2637799,1.9345324,7.511769091,8.61679012,10.34771868,1.377534181
1435808_at,216792,Iba57,2,12,42.9170486,0.00000341,0.002292226,1.8402337,1.8402337,1.2797247,1.8402337,7.198500387,8.138386591,9.323443321,1.295192446
1435899_at,70750,Kdsr,2,12,43.91706955,0.00000302,0.002184893,2.148416,2.148416,1.294619,2.148416,5.868354929,6.541477044,7.340946411,1.250937699
1435963_at,20357,Sema5b,2,12,40.60280748,0.00000455,0.002600124,1.7790301,1.7790301,1.1826049,1.7790301,5.950265029,6.604012173,7.430809321,1.24881989
1435979_a_at,217328,Myo15b,2,12,14.99351049,0.000545,0.046478545,1.7572247,1.7572247,1.2655087,1.7572247,5.692551254,7.051256549,9.884402562,1.736374803
1436447_at,320961,A630026N12Rik,2,12,14.67611276,0.000597,0.048211819,-1.5869235,1.5869235,-1.1238718,-1.5869235,8.765535433,10.16243185,12.90960759,1.472768856
1436508_at,109154,Mlec,2,12,26.37799729,0.0000405,0.01043652,1.6910601,1.6910601,1.0715711,1.6910601,9.3140911,10.13327274,11.33856771,1.217356324
1436713_s_at,17263,Meg3,2,12,31.19975169,0.0000176,0.006404571,-5.757156,5.757156,-2.729637,-5.757156,1.326858943,1.753439442,2.440244557,1.839113774
1436890_at,227620,Uap1l1,2,12,37.5755365,0.00000681,0.003453403,1.5963764,1.5963764,-1.1398932,1.5963764,9.05090143,9.853104722,10.24964889,1.132445091
1437172_x_at,231086,Hadhb,2,12,23.69662104,0.000068,0.014009007,1.7052895,1.7052895,1.3524127,1.7052895,11.24961153,13.68168509,18.0516079,1.604642778
1437381_x_at,52710,Slc52a2,2,12,33.55952704,0.0000122,0.005036869,1.500965,1.500965,1.1163387,1.500965,9.475427918,10.55165834,12.10225908,1.277225597
1437398_a_at,56752,Aldh9a1,2,12,118.3894714,1.26E-08,0.000071,1.5029442,1.5029442,1.2707189,1.5029442,18.24227082,20.79943549,24.41859438,1.338572079
1437496_at,338350,Acad12,2,12,18.66908052,0.000207,0.026767512,1.5155717,1.5155717,-1.0018255,1.5155717,9.827328768,10.46858522,11.61369268,1.181775125
1438038_at,228602,4930402H24Rik,2,12,21.27906002,0.000113,0.019026751,1.5968978,1.5968978,-1.059133,1.5968978,9.29665208,10.08099075,10.79895536,1.16159616
1438055_at,109222,Rarres1,2,12,19.13083659,0.000185,0.025389614,1.8699391,1.8699391,1.3432261,1.8699391,9.84632492,12.00423846,17.54882257,1.782271326
1438147_at,109267,Srcrb4d,2,12,40.63828417,0.00000453,0.002600124,2.058468,2.058468,1.2926009,2.058468,6.462049482,7.255955848,8.204194642,1.269596382
1438659_x_at,66098,Chchd6,2,12,14.96202339,0.00055,0.046621134,1.8531502,1.8531502,1.23609,1.8531502,5.83576579,7.013002823,9.415317395,1.613381642
1439380_x_at,17263,Meg3,2,12,34.95318147,0.00000989,0.004432487,-3.2415972,3.2415972,-1.8155731,-3.2415972,3.675950489,4.661198593,5.763015236,1.567761931
1439451_x_at,52710,Slc52a2,2,12,37.79931436,0.00000661,0.003425867,1.5323664,1.5323664,1.1318687,1.5323664,8.309824207,9.2148819,10.40482768,1.252111648
1439478_at,171210,Acot2,2,12,29.85069263,0.000022,0.007031092,6.267293,6.267293,1.7615203,6.267293,3.180360056,3.784603,4.526074633,1.423132776
1440134_at,666168,Cyp4a31,2,12,280.2209205,8.49E-11,0.00000383,17.911049,17.911049,7.915064,17.911049,0.482451466,0.994225513,1.398700151,2.899152037
1440331_at,70750,Kdsr,2,12,64.61701629,0.000000376,0.000738,2.1600716,2.1600716,1.2541051,2.1600716,6.105704068,6.671338488,7.303889364,1.196240316
1440536_at,,,2,12,17.78972408,0.000257,0.030954656,2.0350604,2.0350604,1.3746601,2.0350604,4.715365948,5.82614535,7.744256296,1.642344705
1441328_at,,,2,12,71.76785828,0.000000211,0.000501,1.6855669,1.6855669,1.0061313,1.6855669,8.503845819,9.43276851,9.758366842,1.147523961
1441971_at,,,2,12,57.63533553,0.000000703,0.00099,2.7781785,2.7781785,1.3520972,2.7781785,2.723994795,3.156298684,3.694291884,1.356203724
1443192_at,210757,Themis,2,12,36.82712426,0.00000756,0.003666885,2.010135,2.010135,1.0844587,2.010135,5.006759437,6.003868249,6.767545759,1.35168183
1443829_x_at,71743,Coasy,2,12,15.97560792,0.000414,0.041330832,1.6462538,1.6462538,1.2174963,1.6462538,9.901885964,11.94192339,17.93644155,1.811416695
1443870_at,239273,Abcc4,2,12,22.04076019,0.000096,0.017245717,4.483567,4.483567,-1.0953852,4.483567,5.795282946,6.969840375,7.790706895,1.344318641
1444790_at,66255,Hsbp1l1,2,12,17.12991624,0.000305,0.034878122,-2.0010672,2.0010672,-1.4272777,-2.0010672,4.864756919,6.024423187,9.013346386,1.852784535
1446675_at,11534,Adk,2,12,26.00256126,0.0000434,0.010762517,-1.903363,1.903363,1.1578908,-1.903363,8.13203276,9.091410635,9.805753312,1.205818225
1446720_at,,,2,12,18.15790401,0.000235,0.029243517,-1.6681784,1.6681784,1.0008187,-1.6681784,8.042539997,8.941799238,9.901548065,1.231146885
1446990_at,18027,Nfia,2,12,14.64912003,0.000602,0.048257126,-2.118642,2.118642,-1.2215496,-2.118642,6.80890792,7.822585741,9.48877976,1.393583211
1447186_at,381884,Slc6a16,2,12,95.77538935,0.000000042,0.000146,3.3658533,3.3658533,1.8938873,3.3658533,1.295343581,1.895115063,2.387029043,1.842776757
1447670_at,67151,Psmd9,2,12,19.45341408,0.000172,0.024358148,-1.6241937,1.6241937,-1.228172,-1.6241937,5.859393291,6.981012744,8.717885922,1.487847886
1447845_s_at,22361,Vnn1,2,12,33.23346506,0.0000128,0.005197933,20.290768,20.290768,5.701655,20.290768,0.594890526,0.991459975,1.576546465,2.650145527
1448205_at,268697;434175,Ccnb1,2,12,18.06525698,0.00024,0.02976112,1.7735642,1.7735642,-1.413308,1.7735642,7.554993623,8.596441457,16.54299829,2.189677334
1448382_at,74147,Ehhadh,2,12,57.76661196,0.000000694,0.00099,4.339959,4.339959,2.3744462,4.339959,1.794926781,2.860456483,4.11681064,2.293581378
1448391_at,56382,Rab9,2,12,20.69473316,0.000129,0.0207674,1.5443481,1.5443481,1.3424023,1.5443481,14.28621064,18.14709803,26.3386695,1.843642808
1448448_a_at,12651,Chkb,2,12,14.58326497,0.000614,0.048629054,1.5910037,1.5910037,1.3704828,1.5910037,12.16595072,15.87211758,24.50756181,2.014438689
1448491_at,51798,Ech1,2,12,122.0652619,1.06E-08,0.0000681,2.4874716,2.4874716,1.9262017,2.4874716,2.559332938,4.26985806,6.735162484,2.631608567
1448499_a_at,13850,Ephx2,2,12,30.92544595,0.0000184,0.006404571,1.6661221,1.6661221,1.4490722,1.6661221,14.74635296,18.46007081,26.09041588,1.769279221
1448569_at,109154,Mlec,2,12,20.55862796,0.000133,0.02111259,1.6055337,1.6055337,1.0028213,1.6055337,10.54076233,11.21443145,12.91144427,1.224906119
1448694_at,16476,Jun,2,12,23.47420202,0.0000712,0.014392508,2.791199,2.791199,1.0359609,2.791199,6.723030229,7.72631984,8.39186161,1.248226071
1448722_s_at,106564,Gm8465,2,12,47.51403739,0.00000199,0.001722995,1.6588151,1.6588151,1.2228253,1.6588151,11.37868595,12.66566443,14.9891902,1.317304148
1448736_a_at,15452,Hprt,2,12,17.43133496,0.000282,0.032854928,1.5663323,1.5663323,1.1245826,1.5663323,14.21879647,16.67489962,21.05190476,1.480568683
1448752_at,12349,Car2,2,12,28.32203447,0.0000285,0.008413256,1.5990294,1.5990294,1.1842234,1.5990294,9.72161946,11.04674312,13.11675029,1.349235109
1448945_at,67801,Pllp,2,12,15.29576145,0.0005,0.044321745,1.534238,1.534238,1.2800661,1.534238,12.36389753,15.97201638,31.88162502,2.578606377
1448987_at,11363,Acadl,2,12,111.7414612,1.75E-08,0.0000878,1.6785375,1.6785375,1.4046861,1.6785375,14.60275353,17.09701713,21.08141531,1.443660285
1448989_a_at,17912,Myo1b,2,12,16.12701825,0.000398,0.040324772,-1.8182081,1.8182081,1.0420121,-1.8182081,9.657123372,10.41864362,11.87833442,1.230007525
1448990_a_at,17912,Myo1b,2,12,17.64977927,0.000267,0.031815542,-1.7349375,1.7349375,1.0767866,-1.7349375,10.0020147,10.69046163,16.17806898,1.617481025
1449027_at,69581,Rhou,2,12,22.52922349,0.0000865,0.016161985,1.5931116,1.5931116,1.1302668,1.5931116,13.09685595,14.9278385,18.12588185,1.383987266
1449028_at,69581,Rhou,2,12,24.73669093,0.0000553,0.012510989,1.5751091,1.5751091,1.1111127,1.5751091,12.27615992,13.87591372,16.60445896,1.352577603
1449442_at,18631,Pex11a,2,12,103.7718471,2.67E-08,0.00012,2.9944987,2.9944987,1.5798025,2.9944987,4.976908855,5.695071446,6.507629798,1.307564592
1449443_at,67460,Decr1,2,12,77.881569,0.000000134,0.000365,2.433197,2.433197,1.5669227,2.433197,3.627235217,4.711470959,5.973859542,1.646945727
1449773_s_at,17873,Gadd45b,2,12,18.25510774,0.000229,0.028780243,2.6901271,2.6901271,1.1497192,2.6901271,5.314571066,6.173420456,7.302472161,1.374047326
1450200_s_at,12983;12984,Csf2rb,2,12,65.80775549,0.00000034,0.000698,1.8315214,1.8315214,1.0344832,1.8315214,7.691754701,9.051399516,9.596929889,1.247690581
1450242_at,53791,Tlr5,2,12,18.52906013,0.000214,0.02729009,1.9872051,1.9872051,-1.0564644,1.9872051,7.846446281,8.750668776,9.488644855,1.209292018
1450391_a_at,23945,Mgll,2,12,34.26611199,0.0000109,0.004657465,2.141205,2.141205,1.3985941,2.141205,7.375497524,8.591695066,10.22826907,1.386790388
1450395_at,20520,Slc22a5,2,12,52.58702787,0.00000115,0.001182585,2.786895,2.786895,1.4480956,2.786895,5.5621061,6.232416625,7.031640111,1.264204599
1450725_s_at,23831,Car14,2,12,18.83372607,0.000199,0.026310889,-1.5549164,1.5549164,-1.1354505,-1.5549164,13.90591257,16.08697996,20.52471479,1.47597036
