Probe ID,Gene ID,Gene Symbol ,Df1,Df2,F-Value,Unadjusted P-Value,Adjusted P-Value,Max Fold Change,Max Fold Change Unsigned,FC Dose Level 1,FC Dose Level 2,bmdl,bmd,bmdu,BMDU/BMDL
1454923_at,73473,Iws1,2,12,23.40297885,0.0000722,0.014409113,-1.5057346,1.5057346,-1.0618523,-1.5057346,11.75373017,13.01693142,15.0599047,1.281287258
1454935_at,228859,Fitm2,2,12,31.49917308,0.0000168,0.006306411,1.8195391,1.8195391,1.1575701,1.8195391,9.162062785,10.18472447,11.61759901,1.268011286
1455227_at,320024,Nceh1,2,12,18.12206192,0.000237,0.029423917,2.1789577,2.1789577,1.2097162,2.1789577,6.88917205,7.890892923,9.677494152,1.404739798
1455400_at,69219,Ddah1,2,12,22.37266184,0.0000894,0.016330378,1.5775255,1.5775255,1.2704057,1.5775255,13.57371004,16.55189997,25.82634815,1.902674219
1455419_at,330286,D630045J12Rik,2,12,23.79713005,0.0000667,0.013960649,1.5618498,1.5618498,1.1225947,1.5618498,8.11915627,9.258660497,11.02385161,1.357758275
1455520_at,26931,Ppp2r5c,2,12,32.10455949,0.0000152,0.005926169,2.1603744,2.1603744,1.3160876,2.1603744,5.922686434,6.734070992,7.73866902,1.306614677
1455660_at,12983,Csf2rb,2,12,28.18945134,0.0000292,0.008488877,4.339876,4.339876,1.031301,4.339876,6.125399761,7.207150224,7.971999745,1.301466036
1455752_a_at,66990,Tmem134,2,12,43.88792671,0.00000303,0.002184893,1.52216,1.52216,1.1800381,1.52216,15.89098268,18.08981199,23.14382287,1.456412315
1455777_x_at,15488,Hsd17b4,2,12,21.4228308,0.00011,0.018742005,1.6493658,1.6493658,1.4079323,1.6493658,12.68996685,16.06521825,22.75136292,1.792862282
1455980_a_at,237436,Gas2l3,2,12,16.84790574,0.000328,0.036795036,1.7193812,1.7193812,-1.0167408,1.7193812,6.945184956,7.897639135,8.814839355,1.269201528
1456011_x_at,113868,Acaa1a,2,12,29.01667149,0.0000253,0.00760945,1.7545244,1.7545244,1.2967877,1.7545244,6.488339631,7.816749425,9.470383414,1.459600445
1456074_at,70061,Sdr9c7,2,12,18.5983376,0.000211,0.027023027,-1.8022572,1.8022572,1.0295693,-1.8022572,8.991891111,9.901647126,10.75268302,1.195819977
1456293_s_at,66671,Ccnh,2,12,22.78367006,0.000082,0.015678506,-1.5062721,1.5062721,-1.0859061,-1.5062721,11.86976476,13.33247277,16.17320188,1.362554541
1456315_a_at,30963,Ptpla,2,12,14.52899607,0.000623,0.049060592,1.6694626,1.6694626,1.1429055,1.6694626,11.04392391,13.00376429,16.45231416,1.489716364
1456424_s_at,18830,Pltp,2,12,19.92022362,0.000154,0.0231281,2.4677544,2.4677544,1.0098174,2.4677544,7.615916733,8.500926275,9.346689676,1.227257335
1456541_x_at,108888,Atad3a,2,12,20.2723141,0.000142,0.02191396,1.6825256,1.6825256,1.1391922,1.6825256,9.454186276,10.85055004,13.43077601,1.420616816
1456691_s_at,57357,Srd5a3,2,12,16.49290369,0.00036,0.038687551,1.6567724,1.6567724,1.1164712,1.6567724,8.843228904,10.11316025,12.45659167,1.408602197
1457302_at,100502938,BC035532,2,12,21.24497548,0.000114,0.019055107,-1.6585745,1.6585745,1.0847869,-1.6585745,9.299632131,10.23193205,11.05829478,1.189110991
1459679_s_at,17912,Myo1b,2,12,19.82010107,0.000157,0.023592804,-1.813564,1.813564,1.0428761,-1.813564,9.499399787,10.40850119,11.41804566,1.201975484
1459686_at,,,2,12,17.36486861,0.000287,0.033333575,1.5567029,1.5567029,1.1624748,1.5567029,7.703506835,9.038196845,11.37307466,1.476350305
1460205_at,68087,Dcakd,2,12,25.05077884,0.0000521,0.012228057,1.5848206,1.5848206,1.0543114,1.5848206,10.18730684,10.99185776,12.26619338,1.204066351
1460599_at,226090,Ermp1,2,12,35.17594056,0.00000957,0.004427737,1.5218532,1.5218532,-1.0597494,1.5218532,9.921093303,10.25159259,10.81863153,1.090467674
