Probe.ID,Gene.ID,Gene.Symbol,bmr,bmr_value,adversity_value,model,prior_weight,posterior_weight,bmdl,bmd,bmdu,Unadjusted.P-Value ,Adjusted.P-Value ,Max.Fold.Change ,Max.Fold.Change Unsigned,FC Dose Level 1,FC Dose Level 2,FC Dose Level 3,FC Dose Level 4,FC Dose Level 5,FC Dose Level 6,FC Dose Level 7
GEMIN5_22827,25929,gemin5,CentralTendencyRelativeChange,,0.1,Model average,1,1,12.52069716,15.31623268,20.21021957,0.000136,0.001634224,1.8041387,1.8041387,1.2971319,1.3030024,1.154889,1.2005768,1.1692377,1.6711519,1.8041387
ATIC_507,471,atic,CentralTendencyRelativeChange,,0.1,Model average,1,1,12.35059475,15.22299221,20.23111001,0.004323332,0.027504467,1.9162943,1.9162943,1.0569075,-1.0597427,1.1693645,1.1503848,1.085733,1.489434,1.9162943
NOP56_4635,,nop56,CentralTendencyRelativeChange,,0.1,Model average,1,1,12.54959139,14.92002706,17.93521907,8.97E-08,0.00000358,1.8758446,1.8758446,1.0901308,1.0610868,-1.0114819,1.2876447,1.0434854,1.7695241,1.8758446
CYP4F2_17490,8529,cyp4f2,CentralTendencyRelativeChange,,0.1,Model average,1,1,13.77572433,14.88940838,16.03585991,6.48E-08,0.00000303,-2.810026,2.810026,1.0189339,-1.0647686,-1.1317501,1.0384892,-1.038367,-1.2954584,-2.810026
NR1I3_16711,,nr1i3,CentralTendencyRelativeChange,,0.1,Model average,1,1,13.54504966,14.85975519,16.40076757,0.00022,0.002448166,-3.1075642,3.1075642,-1.0362356,-1.4908367,-1.4479371,-1.2232155,-1.4089699,-1.1057639,-3.1075642
SLC25A6_14758,,slc25a6,CentralTendencyRelativeChange,,0.1,Model average,1,1,11.10421621,14.48261138,20.68548576,0.0000119,0.000234,1.8564336,1.8564336,1.1949383,1.3495027,1.1537802,1.2112414,1.2432357,1.8564336,1.7344995
PXMP2_5641,5827,pxmp2,CentralTendencyRelativeChange,,0.1,Model average,1,1,11.95570805,14.46262916,19.07795585,0.00161313,0.012680134,-1.6515031,1.6515031,1.4075968,-1.0660021,1.1973344,1.0668576,1.0037147,-1.1659544,-1.6515031
EXOSC8_21683,,exosc8,CentralTendencyRelativeChange,,0.1,Model average,1,1,11.38646259,14.40067255,19.93740486,0.007592991,0.043256237,1.6699393,1.6699393,-1.0407364,1.0149046,-1.175854,1.1181113,1.0873998,1.46389,1.6699393
NME1_4611,654364,nme1-nme2;nme1,CentralTendencyRelativeChange,,0.1,Model average,1,1,12.01383788,14.37792513,17.83776587,0.0000133,0.000259,2.0452437,2.0452437,1.0464636,1.2516445,1.3263751,1.1577795,1.2363147,1.680511,2.0452437
IGFBP1_10877,3484,igfbp1,CentralTendencyRelativeChange,,0.1,Model average,1,1,11.01484912,14.3519327,28.081228,0.006031932,0.03534842,2.235538,2.235538,-1.1400974,-1.05893,1.1337516,-2.063316,-2.1982899,1.0127434,2.235538
CLDN7_21042,,cldn7,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.94679099,14.25294269,19.98790292,0.000986,0.008443841,1.7165364,1.7165364,1.1761186,-1.0928563,1.0727522,1.0775257,1.2790993,1.7165364,1.6189617
GADD45A_2569,1647,gadd45a,CentralTendencyRelativeChange,,0.1,Model average,1,1,11.25534594,14.22316168,20.0726079,0.005411329,0.032890421,2.0867157,2.0867157,1.1709429,1.1132241,1.0772308,1.265714,1.2671862,1.5120313,2.0867157
ABHD6_45,57406,abhd6,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.89316512,13.82858122,18.9564459,0.000283,0.002987269,1.9509872,1.9509872,1.1954498,-1.2567881,1.2169733,1.2621585,1.3170419,1.5420753,1.9509872
GCLM_25908,2730,gclm,CentralTendencyRelativeChange,,0.1,Model average,1,1,11.77782977,13.82038536,17.02131186,0.000117,0.00144325,2.16609,2.16609,-1.2034166,1.0022832,-1.1079165,-1.2476822,-1.120943,1.4590156,2.16609
CYP2E1_1722,1571,cyp2e1,CentralTendencyRelativeChange,,0.1,Model average,1,1,12.74856101,13.80264688,15.04789663,1.78E-12,1.94E-10,-3.4311614,3.4311614,-1.3635402,-1.2118036,-1.2594361,-1.3352038,-1.2261789,-2.2565444,-3.4311614
HPR_3094,3250,hpr,CentralTendencyRelativeChange,,0.1,Model average,1,1,12.2758511,13.68870578,15.51318389,0.000000151,0.00000549,-2.507819,2.507819,1.1485121,-1.1434715,-1.1088858,-1.066006,-1.1212127,-1.9220858,-2.507819
GCLM_2615,2730,gclm,CentralTendencyRelativeChange,,0.1,Model average,1,1,11.57477404,13.6429762,16.90644982,0.000222,0.002452758,2.052453,2.052453,-1.1122772,1.0245157,-1.008004,-1.1124326,-1.1821766,1.7284054,2.052453
SUPV3L1_6897,6832,supv3l1,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.8607771,13.44061495,18.99431405,0.001914192,0.014422602,1.8371216,1.8371216,1.1826111,-1.0584818,-1.1092124,-1.1838751,-1.3656799,1.2752129,1.8371216
