Probe ID,Gene ID,Gene Symbol,bmdl,bmd,bmdu,Unadjusted P-Value,Adjusted P-Value,Max Fold Change,Max Fold Change Unsigned,FC Dose Level 1,FC Dose Level 2,FC Dose Level 3,FC Dose Level 4,FC Dose Level 5,FC Dose Level 6,FC Dose Level 7
IFIT2_3222,3433,ifit2,1.73066317,2.626861285,6.805054928,0.002305112,0.011489543,2.3078206,2.3078206,1.6492606,1.5553882,1.9247373,1.950387,1.5672759,2.3078206,1.8192469
IFITM1_3226,8519,ifitm1,3.523660624,4.03849275,4.799548996,3.83892E-06,5.83151E-05,-7.1351027,7.1351027,1.3178762,1.3753736,1.3386676,1.0696713,1.458185,-3.291065,-7.1351027
IGF1_25126,3479,igf1,4.69215635,7.09044754,27.05333828,0.00374021,0.017494528,-1.83865,1.83865,-1.4227021,1.2751791,1.0022596,-1.1468867,-1.7849901,-1.7666898,-1.83865
IGFBP1_10877,3484,igfbp1,1.957516611,2.812715362,4.7386862,0.000462291,0.003178249,16.802193,16.802193,-1.0700935,2.0568597,1.2868692,1.2257749,1.8480264,6.8378778,16.802193
IGFBP1_3266,3484,igfbp1,2.806888218,3.412210438,4.320609888,7.52854E-06,0.000100067,14.356354,14.356354,1.2730247,1.2355582,-1.0668533,-1.2691537,1.3258903,6.1923313,14.356354
IL1R1_21162,3554,il1r1,19.54543664,19.99351794,20.43537612,3.04239E-06,4.80457E-05,-1.7333561,1.7333561,1.0363188,1.0773591,1.1129453,1.165591,-1.0073558,1.0912123,-1.7333561
INSIG1_3385,3638,insig1,7.580753868,8.343745209,9.278799984,3.87213E-08,1.28668E-06,-5.4945965,5.4945965,1.1489846,-1.1303475,-1.2806365,-1.1640942,-1.0763546,-3.0877306,-5.4945965
IPO5_3401,3843,ipo5,17.12038604,20.29904534,26.61350243,0.001520489,0.008479651,1.7049265,1.7049265,1.2648735,-1.036855,1.0754659,-1.0721776,1.1374205,1.1158075,1.7049265
ITGA1_27365,3672,itga1,15.02562735,16.82696656,19.31396208,6.13726E-06,8.51398E-05,-1.9975352,1.9975352,1.1815531,-1.0014752,1.1454014,1.0340586,1.0788478,-1.3369066,-1.9975352
JMJD6_3471,23210,jmjd6,12.77901995,16.11886824,24.81913439,0.007527229,0.029585649,1.7866764,1.7866764,1.0467379,1.1299146,-1.2154884,-1.4029753,-1.3224726,1.2047449,1.7866764
KNSTRN_3668,90417,knstrn,8.045540997,11.09994341,18.01746921,0.002677409,0.013139899,1.7739418,1.7739418,1.3544453,-1.4153892,1.2142845,1.1294767,1.3563268,1.7739418,1.7136165
