Probe.ID,Gene.ID,Gene.Symbol,bmr,bmr_value,adversity_value,model,prior_weight,posterior_weight,bmdl,bmd,bmdu,Adjusted P-Value,Max Fold Change
HIST2H2AA4_2963,,hist2h2aa4,CentralTendencyRelativeChange,,0.1,Model average,1,1,19.46268518,25.16228572,37.36099781,0.017583507,1.5395066
HMGCR_3029,3156,hmgcr,CentralTendencyRelativeChange,,0.1,Model average,1,1,2.905817774,4.308632037,5.970616602,2.03E-12,-4.8739243
HMGCS1_3030,,hmgcs1,CentralTendencyRelativeChange,,0.1,Model average,1,1,2.737637547,3.45939592,4.771179147,0.048814914,-3.138831
HOMER2_3072,9455,homer2,CentralTendencyRelativeChange,,0.1,Model average,1,1,39.19596191,99.41419167,926.6272892,0.019164339,-1.620437
HP_3085,3240,hp,CentralTendencyRelativeChange,,0.1,Model average,1,1,17.58085405,19.73620517,22.62502133,9.19E-05,-2.0189779
HPR_3094,3250,hpr,CentralTendencyRelativeChange,,0.1,Model average,1,1,11.63244813,12.9275642,14.64500852,2.14E-05,-2.7493694
HSD17B8_24850,7923,hsd17b8,CentralTendencyRelativeChange,,0.1,Model average,1,1,10.65506796,14.24700159,21.75163771,0.01881046,1.5993756
HSP90AB1_3128,3326,hsp90ab1,CentralTendencyRelativeChange,,0.1,Model average,1,1,19.50930237,22.36505927,29.18785363,0.00411242,1.5931348
HSPA1B_3136,3304,hspa1b,CentralTendencyRelativeChange,,0.1,Model average,1,1,14.34601544,17.54271488,22.91827958,0.007068767,1.7337252
HSPD1_3152,,hspd1,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.392416196,10.88395913,15.12141161,4.72E-07,2.3777885
HSPE1_27335,,hspe1,CentralTendencyRelativeChange,,0.1,Model average,1,1,19.60067668,21.93899627,25.00532255,7.05E-06,1.8340069
IARS_14941,,iars,CentralTendencyRelativeChange,,0.1,Model average,1,1,5.095513015,6.6481116,10.05118607,0.025801333,2.1842365
IDI1_12170,,idi1,CentralTendencyRelativeChange,,0.1,Model average,1,1,2.305795674,2.70825055,3.235752203,0,-8.92472
IFI44_11793,10561,ifi44,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.825407246,11.2894099,17.25288289,0.048015229,-1.9400269
IFITM1_3226,8519,ifitm1,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.840101125,7.975857819,9.757786926,2.74E-04,3.0616844
IFITM3_17816,,ifitm3,CentralTendencyRelativeChange,,0.1,Model average,1,1,28.54703951,33.74314717,41.98604911,1.52E-04,-1.5355144
IFRD2_3246,7866,ifrd2,CentralTendencyRelativeChange,,0.1,Model average,1,1,13.34265876,15.95096433,20.1472278,0.008974936,1.7196369
IGFBP1_3266,3484,igfbp1,CentralTendencyRelativeChange,,0.1,Model average,1,1,15.67135629,17.42179718,20.84465016,0.010058172,2.7950423
IKBIP_27347,121457,ikbip,CentralTendencyRelativeChange,,0.1,Model average,1,1,18.78257003,22.44452077,28.6304737,0.00443097,1.5386758
IKBKAP_3288,,ikbkap,CentralTendencyRelativeChange,,0.1,Model average,1,1,15.41262436,20.07967644,29.65981538,0.013186763,-1.9451094
IL1R1_21162,3554,il1r1,CentralTendencyRelativeChange,,0.1,Model average,1,1,40.99944816,81.29824248,168.2840638,0.009517576,1.5267382
INSIG1_3385,3638,insig1,CentralTendencyRelativeChange,,0.1,Model average,1,1,5.905464876,6.386371341,6.937045781,1.48E-09,-7.3779263
ITGA1_27365,3672,itga1,CentralTendencyRelativeChange,,0.1,Model average,1,1,20.49339317,25.30143871,34.21345856,0.013967015,-1.5121143
KDELR2_3540,11014,kdelr2,CentralTendencyRelativeChange,,0.1,Model average,1,1,59.08396329,149.1691643,1193.417765,0.016883717,-1.7266536
KRT7_10561,3855,krt7;krt7-as,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.489625271,8.344880961,11.79619148,0.006791483,2.124422
LAMB3_3722,3914,lamb3,CentralTendencyRelativeChange,,0.1,Model average,1,1,4.727909286,6.233589339,9.695424682,0.013070092,2.887878
LAP3_3740,51056,lap3,CentralTendencyRelativeChange,,0.1,Model average,1,1,19.43854295,24.53511835,34.8804992,0.004161399,1.6933465
LDLR_19353,3949,ldlr,CentralTendencyRelativeChange,,0.1,Model average,1,1,3.647142621,4.739030065,6.191530078,3.25E-05,-2.930598
LEPROTL1_21732,23484,leprotl1,CentralTendencyRelativeChange,,0.1,Model average,1,1,14.31786584,18.29406279,26.31567273,0.008154172,1.6191174
LGMN_3782,5641,lgmn,CentralTendencyRelativeChange,,0.1,Model average,1,1,18.25699688,22.81571337,31.69146319,0.040331795,-1.5778879
LSS_14888,4047,lss,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.807505601,8.774824461,10.03755163,1.85E-05,-2.6494503
MAFF_27478,23764,maff,CentralTendencyRelativeChange,,0.1,Model average,1,1,5.041246578,6.352080342,8.75159977,0.021436715,3.249558
MAPK12_25181,6300,mapk12,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.343589458,9.74191627,14.58416673,0.031013754,1.8774592
MASP2_27484,10747,masp2,CentralTendencyRelativeChange,,0.1,Model average,1,1,27.53826935,33.28504444,43.41570861,0.021181248,-1.5058918
MBD4_4052,,mbd4,CentralTendencyRelativeChange,,0.1,Model average,1,1,14.05914749,17.28415465,22.32819683,0.006423231,1.5712079
MCM3_4072,4172,mcm3,CentralTendencyRelativeChange,,0.1,Model average,1,1,12.7992089,15.26323918,18.97911055,0.00411242,1.6242802
MCM4_4075,4173,mcm4,CentralTendencyRelativeChange,,0.1,Model average,1,1,5.00618233,6.627244854,10.40563855,0.012174361,1.9256798
MCM7_4079,4176,mcm7,CentralTendencyRelativeChange,,0.1,Model average,1,1,9.052797681,11.28177542,15.12615777,0.015838156,1.9330509
MCUR1_4086,63933,mcur1,CentralTendencyRelativeChange,,0.1,Model average,1,1,20.31519553,24.49566716,32.12701356,0.044921196,1.5413837
MRPL15_4264,29088,mrpl15,CentralTendencyRelativeChange,,0.1,Model average,1,1,20.02151782,20.68390259,21.73514548,0.001075453,1.595755
MSMO1_4315,6307,msmo1,CentralTendencyRelativeChange,,0.1,Model average,1,1,2.762106671,3.52637695,4.574046236,0,-7.0916405
MT2A_4334,4502,mt2a,CentralTendencyRelativeChange,,0.1,Model average,1,1,27.28836747,36.29044934,57.92968012,0.002474718,1.7313287
MYC_4394,4609,myc,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.11484912,9.694029639,12.23120686,0.012352092,3.0947752
NDRG1_21187,10397,ndrg1,CentralTendencyRelativeChange,,0.1,Model average,1,1,17.10339988,23.12971264,37.36528014,2.01E-04,2.0432472
NET1_27578,10276,net1,CentralTendencyRelativeChange,,0.1,Model average,1,1,19.34851789,20.38546022,22.01054021,0.008984936,-1.585814
NFKBIE_4571,4794,nfkbie,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.546358844,10.00317053,16.62305725,0.039949679,-1.8939139
NHP2_10492,55651,nhp2,CentralTendencyRelativeChange,,0.1,Model average,1,1,14.77016595,17.12549932,20.7979112,0.001264085,1.6428279
NME1_27589,654364,nme1-nme2;nme1,CentralTendencyRelativeChange,,0.1,Model average,1,1,18.27261475,21.62098668,27.07252526,0.007449056,1.7673789
NME1_4611,654364,nme1-nme2;nme1,CentralTendencyRelativeChange,,0.1,Model average,1,1,14.21833403,16.81137467,20.94205543,0.00219828,1.8843068
NME2_28197,,nme2,CentralTendencyRelativeChange,,0.1,Model average,1,1,15.34126376,18.84014529,24.97342664,0.028882967,1.7253865
NOC3L_4620,64318,noc3l,CentralTendencyRelativeChange,,0.1,Model average,1,1,14.99840198,19.91310318,45.2596838,0.009517576,-1.8275758
NQO1_26473,1728,nqo1,CentralTendencyRelativeChange,,0.1,Model average,1,1,12.62576552,16.54706651,27.93711713,0.040855722,-1.7892666
NR1I3_16711,,nr1i3,CentralTendencyRelativeChange,,0.1,Model average,1,1,11.35235385,13.35489799,16.53582342,0.005846069,-2.3904462
NUS1_4786,116150,nus1,CentralTendencyRelativeChange,,0.1,Model average,1,1,7.051109198,13.21546131,65.43746952,0.005124686,-2.0534987
OXA1L_4873,5018,oxa1l,CentralTendencyRelativeChange,,0.1,Model average,1,1,17.96893072,32.43393817,147.7697827,0.048019267,1.8464543
PARP14_15187,54625,parp14,CentralTendencyRelativeChange,,0.1,Model average,1,1,8.679708174,10.70076561,14.51087154,0.005124686,-2.4370394
PEG10_18691,23089,peg10,CentralTendencyRelativeChange,,0.1,Model average,1,1,3.963853338,5.168722614,7.518739578,0.035524546,3.7967553
PHGDH_5113,26227,phgdh,CentralTendencyRelativeChange,,0.1,Model average,1,1,3.208086275,4.60447667,7.251399848,3.93E-05,1.997831
PIK3R1_15690,5295,pik3r1,CentralTendencyRelativeChange,,0.1,Model average,1,1,13.96988436,16.7267084,21.80347604,0.008379155,-1.7291819
PLA2G2A_13291,5320,pla2g2a,CentralTendencyRelativeChange,,0.1,Model average,1,1,6.453519549,7.732595322,9.907382285,0.017841159,-2.9323857
PLIN2_21957,123,plin2,CentralTendencyRelativeChange,,0.1,Model average,1,1,2.787774936,3.624818685,4.852458963,3.33E-13,4.632442
PLP2_5208,5355,plp2;prickle3,CentralTendencyRelativeChange,,0.1,Model average,1,1,12.3155971,14.27206546,17.19412844,0.001264085,2.2372773
POR_23019,5447,por,CentralTendencyRelativeChange,,0.1,Model average,1,1,3.206943232,4.104064365,5.756330448,2.10E-06,3.4154918
PPARA_17989,5465,ppara,CentralTendencyRelativeChange,,0.1,Model average,1,1,26.59632191,38.41153646,82.98591132,2.97E-04,1.5958288
PPARGC1A_12225,10891,ppargc1a,CentralTendencyRelativeChange,,0.1,Model average,1,1,5.460903091,6.899223195,9.568205807,0.018558082,2.132764
PRSS2_28224,5645,prss2,CentralTendencyRelativeChange,,0.1,Model average,1,1,4.162443927,8.593740419,57.43493176,0.022694135,-1.6309254
PRSS8_18105,5652,prss8,CentralTendencyRelativeChange,,0.1,Model average,1,1,11.99737917,13.85228331,16.58468395,6.40E-04,1.8447658
PSAT1_10692,29968,psat1,CentralTendencyRelativeChange,,0.1,Model average,1,1,16.16547367,19.41324354,25.50627041,0.011783437,1.7073942
PSMF1_5541,9491,psmf1,CentralTendencyRelativeChange,,0.1,Model average,1,1,18.80527069,25.31644869,42.01343461,0.025649905,1.502677
PUS1_11654,80324,pus1,CentralTendencyRelativeChange,,0.1,Model average,1,1,9.717888445,12.78210089,20.00304149,0.043629508,1.6093091
PYGL_5647,5836,pygl,CentralTendencyRelativeChange,,0.1,Model average,1,1,34.86660794,60.47715345,242.1618088,0.007722861,1.5692405
RAB6C_19175,150786,rab6d;rab6c,CentralTendencyRelativeChange,,0.1,Model average,1,1,2.698039182,5.091404521,29.19591368,0.043383855,-1.770202
